type	title	Stub	B	C	FA	Start	GA
hoax	Tarzan_III:_Tale_of_Two_Jungles.html	0.023918367617936618	0.1874202465748996	0.33626146842076104	0.004194909041639729	0.3999782509865077	0.04822675735825608
hoax	Sodagulp.html	0.4520007730760698	0.08172364437969726	0.10485939938267455	0.000524603322417457	0.3504065570319498	0.01048502280719159
hoax	Tascu_(cap).html	0.8717527737156044	0.020559508534670742	0.01480590662573939	0.006040660067476166	0.08684115105650994	0.0
hoax	NEASS.html	0.2411926111829809	0.09175145151896635	0.10832012074297345	0.000510882995912936	0.5518649139126224	0.006360019646544275
hoax	Ghost_Drops.html	0.8735298397984219	0.03322033794471054	0.014813079705089516	0.003763053220032528	0.0746736893317466	0.0
hoax	List_of_The_Summertime_Killer_Series_characters.html	0.0325499679140586	0.2924730162874957	0.348250060668283	0.007148782838312379	0.28287918940445606	0.03669898288739486
hoax	Sharia_for_India.html	0.3964704932218514	0.07108244486253994	0.09130160946616299	0.0022035322373085706	0.4358546031809239	0.0030873170312131614
hoax	DXYP.html	0.789781068912357	0.02033205752207245	0.009863056360434202	0.0030472037935971915	0.17688692351029575	8.96899012432651e-05
hoax	Smoke_Dance.html	0.05805819071351085	0.2263183440372259	0.2535576718191213	0.0014054710348487042	0.44361964034592694	0.017040682049366835
hoax	Breast_Touching_Festival_of_China.html	0.44875332398781864	0.04354645425338296	0.09012338415712604	0.0018398838133845063	0.41399022328223395	0.0017467305060539645
hoax	Jan_Mohammad_Kalhoro_Village.html	0.1043023027947275	0.06862182427007092	0.19424842012062776	0.0010282067444059252	0.6272596597033708	0.004539586366796685
hoax	Gangster_(2015_film).html	0.12215286716784275	0.09079849285538938	0.24311977045083122	0.0003495525165281158	0.5312785688816437	0.012300748127765335
hoax	Sut_Marani_Foowa.html	0.7306540995160711	0.03410188681810364	0.02411268289214885	0.02277924283067621	0.1883520879430011	0.0
hoax	Barony_of_Moor.html	0.8763541976349328	0.029160648447872334	0.030889915690852525	0.012362688360124519	0.05123254986621844	0.0
hoax	The_Oregon_Song.html	0.7884428154571405	0.02756897376236718	0.03377618356609276	0.008321547607158133	0.141341577411634	0.0005489021956087824
hoax	Hamunaptra_(India).html	0.7683686115885974	0.03738105502230511	0.030803560663433927	0.02897691380790643	0.1341504976403122	0.0003193612774451098
hoax	Tamurats.html	0.8296867802903197	0.033130588928413515	0.035510621476687675	0.009768454558775144	0.0915841934683598	0.0003193612774451098
hoax	GBC_Channel_Germany.html	0.624218973217455	0.01893164190459391	0.038592845129463614	0.00021010610358230904	0.3177959542116143	0.0002504794332902822
hoax	Eve_Watson.html	0.6632046327830744	0.04622080728869564	0.04460578051135223	0.014819341465373795	0.23074690967472486	0.0004025282767797738
hoax	Ibalik_Mo_Ang_Nakaraan.html	0.42632474173998414	0.03817871155996798	0.0953605234105208	0.001660579234224513	0.4377578316610435	0.0007176123942591007
hoax	Mama_sita.html	0.8436331182279831	0.03157544404010776	0.015919927364728526	0.027680805027898044	0.08119070533928299	0.0
hoax	Dav_Sorado.html	0.05755405875487487	0.15445755999541055	0.2756571661610962	0.0006799715907815499	0.483019251020173	0.028631992477665152
hoax	Rampage:_The_Death_of_the_World.html	0.7442764265750523	0.057815014285372376	0.04485734388496859	0.02457064266009483	0.1282424523437863	0.00023812025072661694
hoax	Partridge_Chicken.html	0.5891113758700163	0.04174251010135542	0.053524158564040324	0.00283972290443481	0.3125851057655929	0.0001971267945603642
hoax	Jethro_Zulueta.html	0.06321687651532822	0.1716643498861621	0.23532459229019423	0.003223062253941625	0.5024647292317271	0.024106389822647303
hoax	Product_leadership.html	0.8811034917660101	0.03009794871427512	0.013844068786315422	0.034344082261549634	0.04061040847185002	0.0
hoax	Benjamin_Heller.html	0.898141738952345	0.025553007312000713	0.004820161257838723	0.050954319335813285	0.0205242502400946	6.522901908601099e-06
hoax	Jindhagada_Peak.html	0.9248022532128075	0.018007488545734092	0.021904297837467248	0.016176035053924346	0.01910340244815895	6.522901908601099e-06
hoax	Burger_King_Stunners.html	0.8770628803301797	0.014808915925415804	0.014033402705749688	0.0032151672041488217	0.09087963383450666	0.0
hoax	Far_Cry_(2013_film).html	0.8035970586509842	0.014441873329069587	0.023209317114297957	0.00454554599125503	0.15420620491439282	0.0
hoax	R_Channel.html	0.02174191971012954	0.4225866990389215	0.26463642509865803	0.004924944665957995	0.27838159659881717	0.007728414887515721
hoax	Arihant_follow-on_submarine.html	0.6834661152845548	0.02586977015925118	0.11648773411155407	0.003936365152766247	0.1690248281958173	0.0012151870960569354
hoax	Prince_Asim_Majid_bin_Al_Hussein.html	0.8735306240948456	0.011706491414557001	0.012201866790367857	0.004689955436754814	0.09787106226347533	0.0
hoax	Mama_Mo_Yeah.html	0.23927674551525094	0.0874932618893534	0.16011531159211106	0.006251422671942092	0.5045485241001351	0.0023147342312081886
hoax	KVG_Scale.html	0.40201398007911987	0.08040965995701192	0.059667715330720794	0.004255429674840428	0.4497950659938536	0.0038581489644530075
hoax	Divorced_Family.html	0.6839113379350964	0.015418854222597256	0.032122156951187975	0.00047888666196538266	0.2680687642291537	0.0
hoax	Tom_Prescillo.html	0.014923355505775265	0.33710609915999895	0.3552006547579427	0.010370395097108381	0.25903145173471	0.023368043744465064
hoax	Albion_Dauti.html	0.7149881618593801	0.01680934501962024	0.04444089561956431	0.0007602387592831153	0.2230013587421522	0.0
hoax	Batas_Waktu_60_Detik.html	0.06414767106385007	0.1294833774730211	0.29347123605336634	0.0027932276739924596	0.500465004202293	0.009639483533477447
hoax	Plathubis_the_grey_fox.html	0.24573103285198009	0.10540391989670496	0.09205056062754438	0.0028646560323090414	0.5472547583913973	0.006695072200064403
hoax	McFly_World_Domination_Tour.html	0.47924073224109276	0.028923244921727216	0.06248757316267827	0.002079368758496524	0.42643728172684087	0.0008317991891650682
hoax	Kepplinger_HV-71.html	0.889980493631094	0.02129870418619791	0.03401232328572921	0.004498869167659836	0.05020960972931995	0.0
hoax	Bovinophobia.html	0.7424501441097904	0.02888819458595412	0.02139282169177875	0.010447443185501473	0.19671050709452956	0.00011088933244621867
hoax	Noah_Chazzman.html	0.01245714921089908	0.27155656853268006	0.35306654554550226	0.05940379970946647	0.19514307601160027	0.10837286098985208
hoax	Loi_Mistica.html	0.037999924095836225	0.12226421037492789	0.35632264233158745	0.043568958400694836	0.33428963785843707	0.10555462693851662
hoax	Salford_Gaslight_Murders.html	0.2951628635714983	0.09960770087017619	0.09085835228370448	0.0036553503418480147	0.5072023010394578	0.003513431893315385
hoax	Guffin.html	0.062238607540417046	0.20856685015140247	0.28474797510548056	0.016101349151245684	0.3674394696743776	0.06090574837707733
hoax	Unofficial_Big_Brother_(Bulgaria)_2013.html	0.2528503937660882	0.14833251789138205	0.18459340915841915	0.0038783914857849072	0.401212394699564	0.009132892998762625
hoax	Hatzfeldt_Syndrome.html	0.22002357504188955	0.11255875784171192	0.1483809199970504	0.006742396226742227	0.510491834812727	0.001802516079879894
hoax	Alexander_Ivanovich_Popov.html	0.10579760396078393	0.15511049226225165	0.21579199165269136	0.0007378871645223852	0.4940168419878884	0.028545182971862783
hoax	Lao_FA_Cup.html	0.8748508026213013	0.01899938603957437	0.02607111192673228	0.004338285555972931	0.07574041385641957	0.0
hoax	Nicktoons:_Dark_Snap.html	0.10264941900910422	0.16919223328568497	0.19774748023342742	0.0011269631450746297	0.5189724192352897	0.010311485091419853
hoax	Anadroids.html	0.8952368179251049	0.028808984030887684	0.019218949898383582	0.009533135390881322	0.047202112754743314	0.0
hoax	ChuRachor.html	0.8525205374395014	0.03628132028303496	0.014067053914937157	0.024120577929296772	0.07301051043323056	0.0
hoax	Bongee_Bear_and_the_Kingdom_of_Rhythm.html	0.924516708683431	0.015223810087290004	0.003011906641252112	0.004936748180825361	0.05231082640720086	0.0
hoax	ECW_Crossing_the_Line.html	0.04844898877595593	0.24013171612406697	0.20861243636951105	0.0007681742024820573	0.49837669187322103	0.0036619926547633635
hoax	TV5_(Malaysia).html	0.13335529684214628	0.13370940757378735	0.11052572176613863	0.0004976042313132838	0.6192937181324677	0.002618251454147437
hoax	Flie.html	0.8086114028041764	0.04313801824669499	0.03911203745334361	0.011899436919853755	0.09691974329848717	0.0003193612774451098
hoax	TV6_(Malaysia).html	0.44474406326717913	0.03825493794823629	0.06996889821416416	7.589383969703179e-06	0.44338617607995995	0.0036383351064909536
hoax	Disney's_All-Star_Battle.html	0.44295163137837656	0.0391108815030591	0.06606101763314688	0.0002334808110353793	0.45040196418842976	0.0012410244859525402
hoax	Earl_of_Strathfordshire.html	0.7072713216210742	0.053031163169412435	0.0153424935638443	0.004172552269206891	0.2201824693764621	0.0
hoax	Christopher_Kelemen.html	0.6861503575486616	0.03008781305117544	0.052282971399478816	0.004439183393084611	0.22688613553190437	0.00015353907569476432
hoax	MetroTech_Corporation.html	0.6934671802843405	0.04480359097738516	0.022645572808208305	0.008910465366382491	0.2298368985802432	0.00033629198343998804
hoax	Nara_religion.html	0.8155915853785067	0.04750205548475956	0.032898829212562805	0.03485910702856915	0.06914842289560277	0.0
nonhoax	Ralph de Ashton.html	0.46742660752561177	0.11832862536083916	0.02977773022734986	0.00445576855161607	0.378636125874245	0.0013751424603380595
nonhoax	2015–16 Borussia Mönchengladbach season.html	0.4234498223261249	0.05674955422884693	0.07739520108802904	0.0012846102666461948	0.4394807128544865	0.00164009923586678
nonhoax	Moriz Probst.html	0.7689341386766724	0.032397009807929415	0.016907132922955592	0.004210710752783794	0.1773020449458935	0.000248962893766744
nonhoax	Liudvikas Saulius Razma.html	0.9868434239014786	0.0017627119855881093	0.001383232909903544	0.00011434957912722266	0.009889758721993507	6.522901908601099e-06
nonhoax	Malcolm Leslie, 20th Earl of Rothes.html	0.825131835030054	0.05784285765530851	0.017885934654850277	0.009469042492077733	0.08967033016771005	0.0
nonhoax	The Bags (album).html	0.9030486834827087	0.006241328896460547	0.027222639166852643	0.0014736548527883569	0.06201369360118998	0.0
nonhoax	Otemoyan.html	0.24121242346235264	0.08772305168242348	0.10948864330942497	0.0003128985869387419	0.5595397394691497	0.0017232434897105555
nonhoax	New Brunswick System Operator.html	0.6133970929091371	0.08154677380294763	0.026132330652043782	0.002853869635617095	0.275644011769858	0.00042592123039635754
nonhoax	Galain-Chazh.html	0.8926925472518875	0.03136714964330823	0.008620827844935475	0.04264702870302229	0.024672446556846885	0.0
nonhoax	Pârâul Sticlăriei.html	0.9797691407883948	0.002358549892809863	0.0003119239504197732	0.0010627360426664915	0.01649112642380065	6.522901908601099e-06
nonhoax	Hinterland (Lonelady album).html	0.9150880743698905	0.013044806880150693	0.014572447154441176	0.002744145930190274	0.05435092486692448	0.00019960079840319363
nonhoax	Cuttyhunk Light.html	0.17333520919023698	0.08413415863805429	0.14948466203690397	0.002471513526817107	0.5828092539485038	0.0077652026594838075
nonhoax	Cycling at the 1988 Summer Olympics – Men's team pursuit.html	0.5159407495963976	0.04109850412031134	0.06420790498824307	0.0017291462897539404	0.3741244440478121	0.0028992509574823203
nonhoax	Thomas Flindell.html	0.27827228892126377	0.09070816444579488	0.04900210690739763	0.002543899337911932	0.5728052724474041	0.006668267940227654
