n	simple	cumulative	submodular	online_bound	offline_bound
10	9.0	330.8165	333.0999	509.97513	526.9563058794989
20	14.0	491.2728	501.32825	679.2555	793.089609360865
50	35.0	719.61194	727.4742	912.8882	1150.8472109767438
100	54.0	888.97754	905.68774	1090.0479	1432.776914927495
200	243.07248	1063.9359	1081.0862	1242.6854	1710.2531574737704
500	649.69104	1231.8969	1275.4863	1333.621	2017.7896610240366
