15/06/24 05:23:23 INFO input.FileInputFormat: Total input paths to process : 47616
15/06/24 05:24:10 INFO mapreduce.JobSubmitter: number of splits:47616
15/06/24 05:24:11 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_10731
15/06/24 05:24:11 INFO impl.YarnClientImpl: Submitted application application_1434651818028_10731
15/06/24 05:24:11 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_10731/
15/06/24 05:24:11 INFO mapreduce.Job: Running job: job_1434651818028_10731
15/06/24 05:24:21 INFO mapreduce.Job: Job job_1434651818028_10731 running in uber mode : false
15/06/24 05:24:21 INFO mapreduce.Job:  map 0% reduce 0%
15/06/24 05:27:30 INFO mapreduce.Job:  map 1% reduce 0%
15/06/24 05:30:17 INFO mapreduce.Job:  map 2% reduce 0%
15/06/24 05:33:12 INFO mapreduce.Job:  map 3% reduce 0%
15/06/24 05:36:29 INFO mapreduce.Job:  map 4% reduce 0%
15/06/24 05:39:27 INFO mapreduce.Job:  map 5% reduce 0%
15/06/24 05:43:00 INFO mapreduce.Job:  map 6% reduce 0%
15/06/24 05:47:12 INFO mapreduce.Job:  map 7% reduce 0%
15/06/24 05:49:19 INFO mapreduce.Job:  map 8% reduce 0%
15/06/24 05:51:25 INFO mapreduce.Job:  map 9% reduce 0%
15/06/24 05:51:57 INFO mapreduce.Job:  map 9% reduce 1%
15/06/24 05:53:36 INFO mapreduce.Job:  map 10% reduce 1%
15/06/24 05:55:42 INFO mapreduce.Job:  map 11% reduce 1%
15/06/24 05:57:44 INFO mapreduce.Job:  map 12% reduce 1%
15/06/24 05:59:46 INFO mapreduce.Job:  map 13% reduce 1%
15/06/24 06:01:54 INFO mapreduce.Job:  map 14% reduce 1%
15/06/24 06:04:11 INFO mapreduce.Job:  map 15% reduce 1%
15/06/24 06:07:01 INFO mapreduce.Job:  map 16% reduce 1%
15/06/24 06:07:29 INFO mapreduce.Job:  map 16% reduce 2%
15/06/24 06:10:34 INFO mapreduce.Job:  map 17% reduce 2%
15/06/24 06:14:51 INFO mapreduce.Job:  map 18% reduce 2%
15/06/24 06:18:32 INFO mapreduce.Job:  map 19% reduce 2%
15/06/24 06:22:13 INFO mapreduce.Job:  map 20% reduce 2%
15/06/24 06:25:47 INFO mapreduce.Job:  map 21% reduce 2%
15/06/24 06:29:04 INFO mapreduce.Job:  map 22% reduce 2%
15/06/24 06:32:27 INFO mapreduce.Job:  map 23% reduce 2%
15/06/24 06:35:44 INFO mapreduce.Job:  map 24% reduce 2%
15/06/24 06:38:50 INFO mapreduce.Job:  map 25% reduce 2%
15/06/24 06:40:22 INFO mapreduce.Job:  map 25% reduce 3%
15/06/24 06:41:46 INFO mapreduce.Job:  map 26% reduce 3%
15/06/24 06:44:23 INFO mapreduce.Job:  map 27% reduce 3%
15/06/24 06:44:29 INFO mapreduce.Job:  map 27% reduce 4%
15/06/24 06:46:46 INFO mapreduce.Job:  map 28% reduce 4%
15/06/24 06:49:00 INFO mapreduce.Job:  map 28% reduce 5%
15/06/24 06:50:29 INFO mapreduce.Job:  map 29% reduce 5%
15/06/24 06:53:04 INFO mapreduce.Job:  map 30% reduce 5%
15/06/24 06:54:23 INFO mapreduce.Job:  map 30% reduce 6%
15/06/24 06:55:17 INFO mapreduce.Job:  map 31% reduce 6%
15/06/24 06:56:35 INFO mapreduce.Job:  map 31% reduce 7%
15/06/24 06:57:22 INFO mapreduce.Job:  map 32% reduce 7%
