15/07/05 10:34:21 INFO input.FileInputFormat: Total input paths to process : 43008
15/07/05 10:35:00 INFO mapreduce.JobSubmitter: number of splits:43008
15/07/05 10:35:01 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_36141
15/07/05 10:35:01 INFO impl.YarnClientImpl: Submitted application application_1434651818028_36141
15/07/05 10:35:01 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_36141/
15/07/05 10:35:01 INFO mapreduce.Job: Running job: job_1434651818028_36141
15/07/05 10:35:11 INFO mapreduce.Job: Job job_1434651818028_36141 running in uber mode : false
15/07/05 10:35:11 INFO mapreduce.Job:  map 0% reduce 0%
15/07/05 10:36:26 INFO mapreduce.Job:  map 1% reduce 0%
15/07/05 10:37:44 INFO mapreduce.Job:  map 2% reduce 0%
15/07/05 10:39:22 INFO mapreduce.Job:  map 3% reduce 0%
15/07/05 10:40:51 INFO mapreduce.Job:  map 4% reduce 0%
15/07/05 10:42:18 INFO mapreduce.Job:  map 5% reduce 0%
15/07/05 10:43:36 INFO mapreduce.Job:  map 6% reduce 0%
15/07/05 10:44:56 INFO mapreduce.Job:  map 7% reduce 0%
15/07/05 10:46:14 INFO mapreduce.Job:  map 8% reduce 0%
15/07/05 10:47:31 INFO mapreduce.Job:  map 9% reduce 0%
15/07/05 10:47:37 INFO mapreduce.Job:  map 9% reduce 1%
15/07/05 10:48:48 INFO mapreduce.Job:  map 10% reduce 1%
15/07/05 10:50:06 INFO mapreduce.Job:  map 11% reduce 1%
15/07/05 10:51:25 INFO mapreduce.Job:  map 12% reduce 1%
15/07/05 10:52:43 INFO mapreduce.Job:  map 13% reduce 1%
15/07/05 10:54:08 INFO mapreduce.Job:  map 14% reduce 1%
15/07/05 10:55:31 INFO mapreduce.Job:  map 15% reduce 1%
15/07/05 10:55:59 INFO mapreduce.Job:  map 15% reduce 2%
15/07/05 10:56:55 INFO mapreduce.Job:  map 16% reduce 2%
15/07/05 10:58:18 INFO mapreduce.Job:  map 17% reduce 2%
15/07/05 10:59:42 INFO mapreduce.Job:  map 18% reduce 2%
15/07/05 11:01:21 INFO mapreduce.Job:  map 18% reduce 3%
15/07/05 11:01:38 INFO mapreduce.Job:  map 19% reduce 3%
15/07/05 11:03:00 INFO mapreduce.Job:  map 20% reduce 3%
15/07/05 11:04:22 INFO mapreduce.Job:  map 21% reduce 3%
15/07/05 11:05:42 INFO mapreduce.Job:  map 22% reduce 3%
15/07/05 11:05:58 INFO mapreduce.Job:  map 22% reduce 4%
15/07/05 11:07:02 INFO mapreduce.Job:  map 23% reduce 4%
15/07/05 11:08:18 INFO mapreduce.Job:  map 24% reduce 4%
15/07/05 11:09:02 INFO mapreduce.Job:  map 24% reduce 5%
15/07/05 11:09:33 INFO mapreduce.Job:  map 25% reduce 5%
15/07/05 11:10:50 INFO mapreduce.Job:  map 26% reduce 5%
15/07/05 11:12:12 INFO mapreduce.Job:  map 27% reduce 5%
15/07/05 11:12:27 INFO mapreduce.Job:  map 27% reduce 6%
15/07/05 11:13:36 INFO mapreduce.Job:  map 28% reduce 6%
15/07/05 11:15:17 INFO mapreduce.Job:  map 29% reduce 6%
15/07/05 11:17:47 INFO mapreduce.Job:  map 30% reduce 6%
15/07/05 11:19:41 INFO mapreduce.Job:  map 31% reduce 6%
15/07/05 11:21:19 INFO mapreduce.Job:  map 31% reduce 7%
15/07/05 11:21:25 INFO mapreduce.Job:  map 32% reduce 7%
15/07/05 11:24:10 INFO mapreduce.Job:  map 33% reduce 7%
15/07/05 11:26:45 INFO mapreduce.Job:  map 34% reduce 7%
15/07/05 11:29:31 INFO mapreduce.Job:  map 35% reduce 7%
15/07/05 11:32:53 INFO mapreduce.Job:  map 36% reduce 7%
15/07/05 11:35:37 INFO mapreduce.Job:  map 36% reduce 8%
15/07/05 11:36:47 INFO mapreduce.Job:  map 37% reduce 8%
15/07/05 11:40:09 INFO mapreduce.Job:  map 38% reduce 8%
15/07/05 11:43:08 INFO mapreduce.Job:  map 39% reduce 8%
15/07/05 11:45:51 INFO mapreduce.Job:  map 40% reduce 8%
15/07/05 11:48:17 INFO mapreduce.Job:  map 41% reduce 8%
15/07/05 11:49:35 INFO mapreduce.Job:  map 41% reduce 9%
15/07/05 11:50:41 INFO mapreduce.Job:  map 42% reduce 9%
15/07/05 11:53:35 INFO mapreduce.Job:  map 43% reduce 9%
15/07/05 11:56:14 INFO mapreduce.Job:  map 44% reduce 9%
15/07/05 11:58:42 INFO mapreduce.Job:  map 45% reduce 9%
15/07/05 12:01:19 INFO mapreduce.Job:  map 46% reduce 9%
15/07/05 12:02:22 INFO mapreduce.Job:  map 46% reduce 10%
15/07/05 12:03:29 INFO mapreduce.Job:  map 47% reduce 10%
15/07/05 12:04:17 INFO mapreduce.Job:  map 47% reduce 11%
15/07/05 12:05:10 INFO mapreduce.Job:  map 47% reduce 12%
15/07/05 12:05:11 INFO mapreduce.Job:  map 48% reduce 12%
15/07/05 12:05:52 INFO mapreduce.Job:  map 48% reduce 13%
