15/06/28 23:21:55 INFO input.FileInputFormat: Total input paths to process : 43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: number of splits:43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_24369
15/06/28 23:22:42 INFO impl.YarnClientImpl: Submitted application application_1434651818028_24369
15/06/28 23:22:42 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_24369/
15/06/29 02:08:34 INFO mapreduce.Job:  map 46% reduce 1%
15/06/29 02:10:02 INFO mapreduce.Job:  map 46% reduce 2%
15/06/29 02:11:27 INFO mapreduce.Job:  map 46% reduce 3%
15/06/29 02:12:49 INFO mapreduce.Job:  map 46% reduce 4%
15/06/29 02:13:19 INFO mapreduce.Job:  map 47% reduce 4%
15/06/29 02:14:14 INFO mapreduce.Job:  map 47% reduce 5%
15/06/29 02:16:53 INFO mapreduce.Job:  map 47% reduce 6%
15/06/29 02:19:21 INFO mapreduce.Job:  map 48% reduce 6%
15/06/29 02:25:13 INFO mapreduce.Job:  map 49% reduce 6%
15/06/29 02:30:16 INFO mapreduce.Job:  map 50% reduce 6%
15/06/29 02:34:53 INFO mapreduce.Job:  map 50% reduce 7%
15/06/29 02:36:20 INFO mapreduce.Job:  map 51% reduce 7%
15/06/29 02:40:37 INFO mapreduce.Job:  map 51% reduce 8%
15/06/29 02:40:58 INFO mapreduce.Job:  map 52% reduce 8%
15/06/29 02:42:13 INFO mapreduce.Job:  map 52% reduce 9%
15/06/29 02:43:25 INFO mapreduce.Job:  map 52% reduce 10%
15/06/29 02:43:54 INFO mapreduce.Job:  map 53% reduce 10%
15/06/29 02:44:33 INFO mapreduce.Job:  map 53% reduce 11%
15/06/29 02:45:37 INFO mapreduce.Job:  map 53% reduce 12%
15/06/29 02:46:22 INFO mapreduce.Job:  map 54% reduce 12%
15/06/29 02:46:37 INFO mapreduce.Job:  map 54% reduce 13%
15/06/29 02:47:41 INFO mapreduce.Job:  map 54% reduce 14%
15/06/29 02:48:50 INFO mapreduce.Job:  map 54% reduce 15%
15/06/29 02:50:02 INFO mapreduce.Job:  map 54% reduce 16%
15/06/29 02:51:23 INFO mapreduce.Job:  map 54% reduce 81%
15/06/29 02:51:24 INFO mapreduce.Job:  map 54% reduce 1%
15/06/29 02:51:25 INFO mapreduce.Job:  map 54% reduce 0%
15/06/29 02:52:16 INFO mapreduce.Job:  map 54% reduce 1%
15/06/29 02:54:11 INFO mapreduce.Job:  map 54% reduce 2%
15/06/29 02:54:32 INFO mapreduce.Job:  map 55% reduce 2%
15/06/29 02:55:57 INFO mapreduce.Job:  map 55% reduce 3%
15/06/29 02:57:33 INFO mapreduce.Job:  map 55% reduce 4%
