15/07/03 15:46:41 INFO input.FileInputFormat: Total input paths to process : 47616
15/07/03 15:47:30 INFO mapreduce.JobSubmitter: number of splits:47616
15/07/03 15:47:31 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_33006
15/07/03 15:47:31 INFO impl.YarnClientImpl: Submitted application application_1434651818028_33006
15/07/03 15:47:31 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_33006/
15/07/03 15:47:31 INFO mapreduce.Job: Running job: job_1434651818028_33006
15/07/03 15:47:42 INFO mapreduce.Job: Job job_1434651818028_33006 running in uber mode : false
15/07/03 15:47:42 INFO mapreduce.Job:  map 0% reduce 0%
15/07/03 15:49:09 INFO mapreduce.Job:  map 1% reduce 0%
15/07/03 15:50:35 INFO mapreduce.Job:  map 2% reduce 0%
15/07/03 15:52:07 INFO mapreduce.Job:  map 3% reduce 0%
15/07/03 15:53:35 INFO mapreduce.Job:  map 4% reduce 0%
15/07/03 15:55:04 INFO mapreduce.Job:  map 5% reduce 0%
15/07/03 15:56:31 INFO mapreduce.Job:  map 6% reduce 0%
15/07/03 15:57:59 INFO mapreduce.Job:  map 7% reduce 0%
15/07/03 15:59:26 INFO mapreduce.Job:  map 8% reduce 0%
15/07/03 16:00:37 INFO mapreduce.Job:  map 8% reduce 1%
15/07/03 16:00:48 INFO mapreduce.Job:  map 9% reduce 1%
15/07/03 16:02:18 INFO mapreduce.Job:  map 10% reduce 1%
15/07/03 16:03:46 INFO mapreduce.Job:  map 11% reduce 1%
15/07/03 16:05:36 INFO mapreduce.Job:  map 12% reduce 1%
15/07/03 16:07:30 INFO mapreduce.Job:  map 13% reduce 1%
15/07/03 16:09:36 INFO mapreduce.Job:  map 14% reduce 1%
15/07/03 16:12:24 INFO mapreduce.Job:  map 15% reduce 1%
15/07/03 16:15:06 INFO mapreduce.Job:  map 16% reduce 1%
15/07/03 16:17:44 INFO mapreduce.Job:  map 17% reduce 1%
15/07/03 16:18:26 INFO mapreduce.Job:  map 17% reduce 2%
15/07/03 16:20:17 INFO mapreduce.Job:  map 18% reduce 2%
15/07/03 16:22:55 INFO mapreduce.Job:  map 19% reduce 2%
15/07/03 16:25:25 INFO mapreduce.Job:  map 20% reduce 2%
15/07/03 16:27:50 INFO mapreduce.Job:  map 21% reduce 2%
15/07/03 16:30:05 INFO mapreduce.Job:  map 22% reduce 2%
15/07/03 16:32:39 INFO mapreduce.Job:  map 23% reduce 2%
15/07/03 16:35:19 INFO mapreduce.Job:  map 24% reduce 2%
15/07/03 16:37:41 INFO mapreduce.Job:  map 25% reduce 2%
15/07/03 16:38:46 INFO mapreduce.Job:  map 25% reduce 3%
15/07/03 16:40:00 INFO mapreduce.Job:  map 26% reduce 3%
15/07/03 16:42:41 INFO mapreduce.Job:  map 27% reduce 3%
15/07/03 16:45:12 INFO mapreduce.Job:  map 28% reduce 3%
15/07/03 16:47:28 INFO mapreduce.Job:  map 29% reduce 3%
15/07/03 16:49:04 INFO mapreduce.Job:  map 29% reduce 4%
