15/06/26 05:01:38 INFO input.FileInputFormat: Total input paths to process : 47616
15/06/26 05:02:18 INFO mapreduce.JobSubmitter: number of splits:47616
15/06/26 05:02:19 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_14061
15/06/26 05:02:19 INFO impl.YarnClientImpl: Submitted application application_1434651818028_14061
15/06/26 05:02:19 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_14061/
15/06/26 05:02:19 INFO mapreduce.Job: Running job: job_1434651818028_14061
15/06/26 05:02:28 INFO mapreduce.Job: Job job_1434651818028_14061 running in uber mode : false
15/06/26 07:58:57 INFO mapreduce.Job:  map 53% reduce 1%
15/06/26 07:59:44 INFO mapreduce.Job:  map 53% reduce 2%
15/06/26 08:00:31 INFO mapreduce.Job:  map 53% reduce 3%
15/06/26 08:01:17 INFO mapreduce.Job:  map 53% reduce 4%
15/06/26 08:02:00 INFO mapreduce.Job:  map 53% reduce 5%
15/06/26 08:02:42 INFO mapreduce.Job:  map 53% reduce 6%
15/06/26 08:03:25 INFO mapreduce.Job:  map 53% reduce 7%
15/06/26 08:03:37 INFO mapreduce.Job:  map 54% reduce 7%
15/06/26 08:08:07 INFO mapreduce.Job:  map 55% reduce 7%
15/06/26 08:09:49 INFO mapreduce.Job:  map 55% reduce 8%
15/06/26 08:12:42 INFO mapreduce.Job:  map 56% reduce 8%
15/06/26 08:17:24 INFO mapreduce.Job:  map 57% reduce 8%
15/06/26 08:21:31 INFO mapreduce.Job:  map 58% reduce 8%
15/06/26 08:25:54 INFO mapreduce.Job:  map 59% reduce 8%
15/06/26 08:29:45 INFO mapreduce.Job:  map 60% reduce 8%
15/06/26 08:34:45 INFO mapreduce.Job:  map 61% reduce 8%
15/06/26 08:35:47 INFO mapreduce.Job:  map 61% reduce 9%
15/06/26 08:38:29 INFO mapreduce.Job:  map 62% reduce 9%
15/06/26 08:43:15 INFO mapreduce.Job:  map 63% reduce 9%
15/06/26 08:47:12 INFO mapreduce.Job:  map 64% reduce 9%
15/06/26 08:50:44 INFO mapreduce.Job:  map 65% reduce 9%
15/06/26 08:52:31 INFO mapreduce.Job:  map 65% reduce 10%
15/06/26 08:53:25 INFO mapreduce.Job:  map 66% reduce 10%
15/06/26 08:53:36 INFO mapreduce.Job:  map 66% reduce 11%
15/06/26 08:54:35 INFO mapreduce.Job:  map 66% reduce 12%
15/06/26 08:55:22 INFO mapreduce.Job:  map 66% reduce 13%
15/06/26 08:55:26 INFO mapreduce.Job:  map 67% reduce 13%
15/06/26 08:56:05 INFO mapreduce.Job:  map 67% reduce 14%
15/06/26 08:56:43 INFO mapreduce.Job:  map 67% reduce 15%
15/06/26 08:57:12 INFO mapreduce.Job:  map 68% reduce 15%
15/06/26 08:57:29 INFO mapreduce.Job:  map 68% reduce 16%
15/06/26 08:58:13 INFO mapreduce.Job:  map 68% reduce 17%
15/06/26 08:59:00 INFO mapreduce.Job:  map 68% reduce 18%
15/06/26 08:59:03 INFO mapreduce.Job:  map 68% reduce 82%
15/06/26 08:59:04 INFO mapreduce.Job:  map 68% reduce 0%
15/06/26 08:59:35 INFO mapreduce.Job:  map 68% reduce 1%
15/06/26 09:00:10 INFO mapreduce.Job:  map 69% reduce 1%
15/06/26 09:00:23 INFO mapreduce.Job:  map 69% reduce 2%
15/06/26 09:01:07 INFO mapreduce.Job:  map 69% reduce 3%
15/06/26 09:01:52 INFO mapreduce.Job:  map 69% reduce 4%
15/06/26 09:02:33 INFO mapreduce.Job:  map 69% reduce 5%
15/06/26 09:03:12 INFO mapreduce.Job:  map 69% reduce 6%
15/06/26 09:03:52 INFO mapreduce.Job:  map 69% reduce 7%
15/06/26 09:04:29 INFO mapreduce.Job:  map 69% reduce 8%
15/06/26 09:04:30 INFO mapreduce.Job:  map 70% reduce 8%
15/06/26 09:05:03 INFO mapreduce.Job:  map 70% reduce 9%
15/06/26 09:06:15 INFO mapreduce.Job:  map 70% reduce 10%
15/06/26 09:08:10 INFO mapreduce.Job:  map 71% reduce 10%
15/06/26 09:11:55 INFO mapreduce.Job:  map 72% reduce 10%
15/06/26 09:16:11 INFO mapreduce.Job:  map 73% reduce 10%
15/06/26 09:19:47 INFO mapreduce.Job:  map 74% reduce 10%
15/06/26 09:23:41 INFO mapreduce.Job:  map 75% reduce 10%
15/06/26 09:25:34 INFO mapreduce.Job:  map 75% reduce 11%
15/06/26 09:27:00 INFO mapreduce.Job:  map 76% reduce 11%
15/06/26 09:30:16 INFO mapreduce.Job:  map 77% reduce 11%
15/06/26 09:34:11 INFO mapreduce.Job:  map 78% reduce 11%
15/06/26 09:37:13 INFO mapreduce.Job:  map 79% reduce 11%
15/06/26 09:40:05 INFO mapreduce.Job:  map 80% reduce 11%
15/06/26 09:43:34 INFO mapreduce.Job:  map 81% reduce 11%
15/06/26 09:46:45 INFO mapreduce.Job:  map 82% reduce 11%
15/06/26 09:48:45 INFO mapreduce.Job:  map 82% reduce 12%
15/06/26 09:49:42 INFO mapreduce.Job:  map 83% reduce 12%
15/06/26 09:51:17 INFO mapreduce.Job:  map 83% reduce 13%
15/06/26 09:51:51 INFO mapreduce.Job:  map 84% reduce 13%
